x	y	err
0.000000000000000000e+00 5.633843870497451389e-01 5.348316588256827320e-01
1.010101010101010187e-02 1.060818703924525819e+00 1.099708902038377234e+00
2.020202020202020374e-02 1.557649529224808704e+00 1.364505165507961193e+00
3.030303030303030387e-02 2.307735129454116407e+00 2.125498634965994338e+00
4.040404040404040747e-02 3.826316927870560658e+00 3.800500210288028313e+00
5.050505050505051108e-02 5.063322310421029648e+00 4.963325675788413882e+00
6.060606060606060774e-02 6.372989130745928321e+00 6.228778856832984268e+00
7.070707070707071829e-02 8.126492479500567967e+00 8.801904898787197951e+00
8.080808080808081495e-02 1.017903315665770592e+01 1.053868989277278878e+01
9.090909090909091161e-02 1.327833041874325382e+01 1.396165669427086087e+01
1.010101010101010222e-01 1.586691537422652054e+01 1.719478069210841653e+01
1.111111111111111188e-01 1.824380734592444853e+01 1.979854069967364794e+01
1.212121212121212155e-01 2.232989831469304320e+01 2.418567621674173651e+01
1.313131313131313260e-01 2.421491856268275455e+01 2.487226053809995818e+01
1.414141414141414366e-01 2.673482617564723895e+01 2.726468924456943554e+01
1.515151515151515194e-01 2.902796080720282035e+01 2.991455747410763166e+01
1.616161616161616299e-01 3.289671425581568798e+01 3.321335895219232270e+01
1.717171717171717404e-01 3.600372119007200666e+01 3.456386078473343559e+01
1.818181818181818232e-01 3.952370022308336672e+01 3.566955705657009190e+01
1.919191919191919338e-01 4.476855682084327981e+01 3.905829978471914643e+01
2.020202020202020443e-01 4.870977426802670607e+01 4.218817925938088109e+01
2.121212121212121271e-01 5.351384475949083708e+01 4.648963812860068856e+01
2.222222222222222376e-01 5.805670345091758833e+01 5.113178946546991455e+01
2.323232323232323482e-01 6.324681822212156845e+01 5.555462663734051887e+01
2.424242424242424310e-01 6.921502222439268337e+01 5.980157398873591745e+01
2.525252525252525415e-01 7.497599322539146272e+01 6.512246688276856332e+01
2.626262626262626521e-01 7.949324733470585613e+01 6.808698720693720929e+01
2.727272727272727626e-01 8.620928725555842220e+01 7.524981605162122378e+01
2.828282828282828731e-01 9.452636479563778948e+01 7.884653669883010707e+01
2.929292929292929282e-01 1.033891628616957945e+02 8.475165626472129077e+01
3.030303030303030387e-01 1.103577727195155802e+02 9.087425873411744703e+01
3.131313131313131493e-01 1.292687741717474523e+02 1.017989253766266700e+02
3.232323232323232598e-01 1.386811243366081214e+02 1.114397372019630978e+02
3.333333333333333703e-01 1.490347829196634564e+02 1.210840123272675442e+02
3.434343434343434809e-01 1.769768350472274676e+02 1.633047725479095504e+02
3.535353535353535914e-01 1.854754123669319767e+02 1.729710364061838277e+02
3.636363636363636465e-01 1.848759628681828815e+02 1.694268207195505624e+02
3.737373737373737570e-01 1.963144578016572552e+02 1.779697986749333154e+02
3.838383838383838675e-01 2.074533837884983996e+02 1.812224896801313889e+02
3.939393939393939781e-01 2.176633318540955315e+02 1.863178830528708829e+02
4.040404040404040886e-01 2.256253993417950880e+02 1.948696185713926639e+02
4.141414141414141992e-01 2.377787935512539264e+02 2.063624350859778360e+02
4.242424242424242542e-01 2.539599042065926824e+02 2.166534504667733074e+02
4.343434343434343647e-01 2.678539492391965382e+02 2.294541960257855067e+02
4.444444444444444753e-01 2.745650044859873447e+02 2.343997497867943594e+02
4.545454545454545858e-01 2.865805310015720124e+02 2.381729038887708896e+02
4.646464646464646964e-01 2.990011644721151356e+02 2.448002816145134659e+02
4.747474747474748069e-01 3.171312900226710667e+02 2.668943128282482462e+02
4.848484848484848619e-01 3.323782582347184302e+02 2.857680214469922362e+02
4.949494949494949725e-01 3.421213035724867382e+02 2.980515618539347429e+02
5.050505050505050830e-01 3.500011311155739691e+02 3.029301323063916698e+02
5.151515151515152491e-01 3.587607119298068028e+02 3.165059469672475529e+02
5.252525252525253041e-01 3.684356117079033197e+02 3.221637440796418446e+02
5.353535353535353591e-01 3.781781077642922924e+02 3.312222872304047314e+02
5.454545454545455252e-01 3.915722955410041664e+02 3.437933484723085940e+02
5.555555555555555802e-01 4.075712023265000425e+02 3.628792454826324843e+02
5.656565656565657463e-01 4.180814804749729774e+02 3.773464715250855761e+02
5.757575757575758013e-01 4.331669878265529405e+02 3.977463734681349479e+02
5.858585858585858563e-01 4.450889613511890843e+02 4.110198513385672072e+02
5.959595959595960224e-01 4.564498060523756067e+02 4.253711399203072006e+02
6.060606060606060774e-01 4.850336066707747591e+02 4.431770701153791947e+02
6.161616161616162435e-01 4.993657727730554257e+02 4.576944699837734447e+02
6.262626262626262985e-01 5.190609017881896534e+02 4.804064687042800870e+02
6.363636363636364646e-01 5.369978673049108693e+02 4.984125651732970255e+02
6.464646464646465196e-01 5.493168917521214780e+02 5.137387589786021636e+02
6.565656565656565746e-01 5.636229714810417590e+02 5.340327164902703316e+02
6.666666666666667407e-01 5.829451500124768017e+02 5.549260171381134796e+02
6.767676767676767957e-01 5.947297561359722522e+02 5.625902819897257814e+02
6.868686868686869618e-01 6.100271608385058926e+02 5.730263449640250428e+02
6.969696969696970168e-01 6.270731665401486907e+02 5.827019850198342965e+02
7.070707070707071829e-01 6.492098960833033061e+02 6.093734546914577095e+02
7.171717171717172379e-01 6.651515379494654781e+02 6.300929162516029010e+02
7.272727272727272929e-01 6.914689485218945038e+02 6.605266417059858668e+02
7.373737373737374590e-01 7.041720076200596168e+02 6.759952218673648758e+02
7.474747474747475140e-01 7.196195348053097405e+02 6.923257239631152515e+02
7.575757575757576801e-01 7.401002164824403735e+02 7.160948884839107222e+02
7.676767676767677351e-01 8.173904872910994754e+02 7.618064688536571794e+02
7.777777777777777901e-01 8.465268574473074068e+02 7.749928537426120556e+02
7.878787878787879562e-01 8.610680070331046636e+02 7.953645394797243853e+02
7.979797979797980112e-01 8.954243196246188745e+02 8.134072391997655131e+02
8.080808080808081773e-01 9.474056773944244014e+02 8.595668331339101087e+02
8.181818181818182323e-01 9.840656634237252547e+02 9.028961314853763724e+02
8.282828282828283983e-01 1.002357606189159014e+03 9.063994433576694973e+02
8.383838383838384534e-01 1.018659846546397944e+03 9.225140799063791519e+02
8.484848484848485084e-01 1.022193980882108349e+03 9.150820068997257977e+02
8.585858585858586745e-01 1.078836800761412178e+03 9.575814576935669038e+02
8.686868686868687295e-01 1.115738533557444498e+03 9.892842110072883770e+02
8.787878787878788955e-01 1.142455041373754511e+03 1.011334824228508978e+03
8.888888888888889506e-01 1.172463693897804433e+03 1.025675590644618069e+03
8.989898989898991166e-01 1.214963911695832621e+03 1.064621503060291843e+03
9.090909090909091717e-01 1.243858470504688285e+03 1.077468144546666736e+03
9.191919191919192267e-01 1.302586083618046359e+03 1.138323546438734184e+03
9.292929292929293927e-01 1.348543717663453890e+03 1.180319417964201421e+03
9.393939393939394478e-01 1.391787297910402231e+03 1.210202744267099433e+03
9.494949494949496138e-01 1.425684875862945546e+03 1.231546137801011582e+03
9.595959595959596689e-01 1.463310626018570247e+03 1.264395712760069273e+03
9.696969696969697239e-01 1.485025065947714438e+03 1.298051659727357219e+03
9.797979797979798899e-01 1.529103797219867602e+03 1.355476278855520604e+03
9.898989898989899450e-01 1.580687485949242955e+03 1.424942934132987830e+03
1.000000000000000000e+00 1.603049959317550019e+03 1.447617323294198286e+03
