x	y	err
0.000000000000000000e+00 4.494893037723228790e-01 2.972339190612761639e-01
1.010101010101010187e-02 8.111710948349694084e-01 5.949353290440725361e-01
2.020202020202020374e-02 1.253353212623731006e+00 7.973164453870122959e-01
3.030303030303030387e-02 1.932140371889992769e+00 1.532517574526352400e+00
4.040404040404040747e-02 3.260517339393734559e+00 3.195623271351534012e+00
5.050505050505051108e-02 4.270855652464941699e+00 4.309059628562454058e+00
6.060606060606060774e-02 5.404071864425364247e+00 5.501073451731692820e+00
7.070707070707071829e-02 7.177723639342463713e+00 8.534926702126803377e+00
8.080808080808081495e-02 8.971522200723677898e+00 1.038019817777401244e+01
9.090909090909091161e-02 1.175787980601079852e+01 1.396532240648460110e+01
1.010101010101010222e-01 1.464870398731182100e+01 1.842719149945002144e+01
1.111111111111111188e-01 1.731465385903177534e+01 2.175402483180959123e+01
1.212121212121212155e-01 2.113298510165667565e+01 2.735978972681199295e+01
1.313131313131313260e-01 2.265471174098174245e+01 2.817127152630830267e+01
1.414141414141414366e-01 2.564947166731477068e+01 3.254488216818527491e+01
1.515151515151515194e-01 2.811063276459164229e+01 3.553167412471319153e+01
1.616161616161616299e-01 3.159789628404072559e+01 3.805673102576457723e+01
1.717171717171717404e-01 3.413330679189179051e+01 3.912471098732111585e+01
1.818181818181818232e-01 3.709423591457971980e+01 4.053881198007356801e+01
1.919191919191919338e-01 4.107324871774237351e+01 4.238089928247790539e+01
2.020202020202020443e-01 4.395360915876781860e+01 4.313045749105606319e+01
2.121212121212121271e-01 4.757197536471725385e+01 4.445198437284972925e+01
2.222222222222222376e-01 5.113631295519216025e+01 4.578828791192535164e+01
2.323232323232323482e-01 5.513732104128212086e+01 4.920891436461596413e+01
2.424242424242424310e-01 5.873539151848106599e+01 5.001180615774924121e+01
2.525252525252525415e-01 6.102921893896490246e+01 5.089101148656880724e+01
2.626262626262626521e-01 6.300477435450915209e+01 5.046121733019748490e+01
2.727272727272727626e-01 6.577322321589451803e+01 5.273239367302979019e+01
2.828282828282828731e-01 7.102018046023756881e+01 5.362925376798109056e+01
2.929292929292929282e-01 7.690622541643197962e+01 5.554274162392992054e+01
3.030303030303030387e-01 8.189263522241638782e+01 5.772116896574527800e+01
3.131313131313131493e-01 9.043249457059808094e+01 5.753466550789700307e+01
3.232323232323232598e-01 9.859581645568847819e+01 6.328355026659750138e+01
3.333333333333333703e-01 1.066327187452330918e+02 6.872762030838882197e+01
3.434343434343434809e-01 1.372391066655084444e+02 1.197353019565002938e+02
3.535353535353535914e-01 1.693891145175471422e+02 1.832636334216707894e+02
3.636363636363636465e-01 1.745486325745755494e+02 1.927622452229715861e+02
3.737373737373737570e-01 1.845429223376845869e+02 2.033122971750416070e+02
3.838383838383838675e-01 1.919535097062305340e+02 2.039379120099138163e+02
3.939393939393939781e-01 2.010051528105417162e+02 2.100398573649115690e+02
4.040404040404040886e-01 2.088546574495811399e+02 2.186110360840621070e+02
4.141414141414141992e-01 2.199468235275333257e+02 2.284146673768667029e+02
4.242424242424242542e-01 2.307475471457708238e+02 2.372959064877560706e+02
4.343434343434343647e-01 2.413789178510020292e+02 2.479771459935564053e+02
4.444444444444444753e-01 2.491389168887211554e+02 2.543705466112436966e+02
4.545454545454545858e-01 2.544079195354958927e+02 2.534244357484328418e+02
4.646464646464646964e-01 2.634967564313919297e+02 2.627713702012152339e+02
4.747474747474748069e-01 2.850241520720964559e+02 2.900648313109790593e+02
4.848484848484848619e-01 2.990234271154811267e+02 3.046904233859355031e+02
4.949494949494949725e-01 3.052418510741310911e+02 3.106149888696338053e+02
5.050505050505050830e-01 3.135946831597902360e+02 3.161838511299256425e+02
5.151515151515152491e-01 3.251985209461846011e+02 3.292945085282802893e+02
5.252525252525253041e-01 3.363113272592818248e+02 3.326525531459392937e+02
5.353535353535353591e-01 3.443416820328924928e+02 3.382445618257727915e+02
5.454545454545455252e-01 3.558458688075563714e+02 3.496181366161285951e+02
5.555555555555555802e-01 3.728083295866554181e+02 3.710413864904499519e+02
5.656565656565657463e-01 3.844750570198029322e+02 3.810930506973808747e+02
5.757575757575758013e-01 3.938100887596380630e+02 3.894559298172619606e+02
5.858585858585858563e-01 4.041627749333300130e+02 3.969033190092403061e+02
5.959595959595960224e-01 4.171654557725518657e+02 4.069539426509799114e+02
6.060606060606060774e-01 4.360602272240218440e+02 4.198647480316573706e+02
6.161616161616162435e-01 4.628781573642102671e+02 4.388052892598623771e+02
6.262626262626262985e-01 4.894756638813416316e+02 4.692388957797948024e+02
6.363636363636364646e-01 5.126766784553691423e+02 4.882351627323067760e+02
6.464646464646465196e-01 5.242018412204151900e+02 5.020440616954717825e+02
6.565656565656565746e-01 5.443007960047217466e+02 5.254355747632095017e+02
6.666666666666667407e-01 5.696872960400532975e+02 5.577946955328685590e+02
6.767676767676767957e-01 5.830623599958181558e+02 5.769645648582974218e+02
6.868686868686869618e-01 5.934688006169557184e+02 5.868685741577171484e+02
6.969696969696970168e-01 6.040155242857209714e+02 5.946426552471077684e+02
7.070707070707071829e-01 6.293160873520815812e+02 6.224215382304812465e+02
7.171717171717172379e-01 6.503565997731403741e+02 6.415591245867274210e+02
7.272727272727272929e-01 6.777069221193318072e+02 6.681159386413903576e+02
7.373737373737374590e-01 7.002933716852725183e+02 6.843042774592362321e+02
7.474747474747475140e-01 7.191281242562695297e+02 7.057834364119935344e+02
7.575757575757576801e-01 7.430940203949411398e+02 7.180621777567234858e+02
7.676767676767677351e-01 7.740832880140311545e+02 7.144246674324459718e+02
7.777777777777777901e-01 7.939026077743459382e+02 7.213808266511377951e+02
7.878787878787879562e-01 8.084886315689124103e+02 7.389866961330920958e+02
7.979797979797980112e-01 8.265728980815889599e+02 7.468784735992325068e+02
8.080808080808081773e-01 8.619239741590637323e+02 7.704960882743550883e+02
8.181818181818182323e-01 9.048383824388547509e+02 8.226559386856836227e+02
8.282828282828283983e-01 9.353101612074680133e+02 8.216892259430593413e+02
8.383838383838384534e-01 9.768322513610652322e+02 8.443091270372733561e+02
8.484848484848485084e-01 1.006182014865634869e+03 8.471055770972243408e+02
8.585858585858586745e-01 1.050122796602958260e+03 8.532084018709225575e+02
8.686868686868687295e-01 1.093727917003652010e+03 8.506462581237160521e+02
8.787878787878788955e-01 1.129206947690195420e+03 8.588663421440082857e+02
8.888888888888889506e-01 1.171306984273630405e+03 8.577771605201579632e+02
8.989898989898991166e-01 1.210386169162216220e+03 8.510122059145626281e+02
9.090909090909091717e-01 1.246286667616001751e+03 8.502654088176228697e+02
9.191919191919192267e-01 1.296191204945345362e+03 8.300577701368797534e+02
9.292929292929293927e-01 1.338172051661571231e+03 8.256585523485748581e+02
9.393939393939394478e-01 1.384253842922303193e+03 8.238720373311322192e+02
9.494949494949496138e-01 1.420197634610311752e+03 8.173092354381659561e+02
9.595959595959596689e-01 1.463158121196681350e+03 8.166490466039697367e+02
9.696969696969697239e-01 1.497295812377425364e+03 8.269861394594622652e+02
9.797979797979798899e-01 1.545287632706540762e+03 8.345925297750058007e+02
9.898989898989899450e-01 1.588263240293548733e+03 8.174537855192903635e+02
1.000000000000000000e+00 1.621889830961520374e+03 8.289417202041248629e+02
