x	y	err
0.000000000000000000e+00 5.979214723946887355e-01 5.020153550896262473e-01
1.010101010101010187e-02 1.129767542471753261e+00 1.070444730509451325e+00
2.020202020202020374e-02 1.636740783369251773e+00 1.271252835758230448e+00
3.030303030303030387e-02 2.394398601880136201e+00 1.973175645748022289e+00
4.040404040404040747e-02 3.886545923527071622e+00 3.529187820219581440e+00
5.050505050505051108e-02 5.127054756843081762e+00 4.648565213956907805e+00
6.060606060606060774e-02 6.425082677540358667e+00 5.902238895540527608e+00
7.070707070707071829e-02 7.957182923461767921e+00 7.812414883200732518e+00
8.080808080808081495e-02 9.904370480619215655e+00 9.395834444744567193e+00
9.090909090909091161e-02 1.272964228621518856e+01 1.248580744071797533e+01
1.010101010101010222e-01 1.474075127423586018e+01 1.479502251919076450e+01
1.111111111111111188e-01 1.644322572052896447e+01 1.684088119948379969e+01
1.212121212121212155e-01 2.020987664254395000e+01 2.035297541436436575e+01
1.313131313131313260e-01 2.201835187438276975e+01 2.161794500608475289e+01
1.414141414141414366e-01 2.333657911926841777e+01 2.228624890023960603e+01
1.515151515151515194e-01 2.561141548011089242e+01 2.518876955878705814e+01
1.616161616161616299e-01 2.897200669505621207e+01 2.959464471320492507e+01
1.717171717171717404e-01 3.155877750508016888e+01 3.118898804188291862e+01
1.818181818181818232e-01 3.441608181953350964e+01 3.285930045569774904e+01
1.919191919191919338e-01 3.899818156450496787e+01 3.651553881746902164e+01
2.020202020202020443e-01 4.264135576651656123e+01 4.043707427644958585e+01
2.121212121212121271e-01 4.612611028318621464e+01 4.546497359638637903e+01
2.222222222222222376e-01 4.940308113968617221e+01 4.983991423928168274e+01
2.323232323232323482e-01 5.267597763205760231e+01 5.217165146125323361e+01
2.424242424242424310e-01 5.818183602125616716e+01 5.637586422833778954e+01
2.525252525252525415e-01 6.497262815445508011e+01 6.310191329978002273e+01
2.626262626262626521e-01 7.066515362132444977e+01 6.654936533905811302e+01
2.727272727272727626e-01 7.607720446620423616e+01 7.155127273351301653e+01
2.828282828282828731e-01 8.454385459864005270e+01 7.608578679058514638e+01
2.929292929292929282e-01 9.213982736331996648e+01 7.979841890802907756e+01
3.030303030303030387e-01 9.884555413827605719e+01 8.354648303452417224e+01
3.131313131313131493e-01 1.196135573555477123e+02 9.867605982198263348e+01
3.232323232323232598e-01 1.280388097250782380e+02 1.070691798616736037e+02
3.333333333333333703e-01 1.354270852433272978e+02 1.123303431152992147e+02
3.434343434343434809e-01 1.436644239244842822e+02 1.196459332045779860e+02
