x	y	err
0.000000000000000000e+00 4.209157627742130359e+01 6.131868794994322514e+01
1.010101010101010187e-02 4.152609706312264137e+01 6.123596982827462654e+01
2.020202020202020374e-02 4.069003244249298490e+01 6.129961078869477120e+01
3.030303030303030387e-02 4.162455080317315748e+01 6.080510380481810984e+01
4.040404040404040747e-02 4.292510444013581861e+01 6.006262216503947116e+01
5.050505050505051108e-02 4.406031284511104928e+01 5.951194703028730260e+01
6.060606060606060774e-02 4.556255732685119142e+01 5.889216687256759286e+01
7.070707070707071829e-02 4.773193572013982333e+01 5.818345674146631552e+01
8.080808080808081495e-02 4.978880201643847414e+01 5.757115493807738460e+01
9.090909090909091161e-02 5.266438263305531819e+01 5.717376908062667695e+01
1.010101010101010222e-01 5.675902984902643311e+01 5.776095209936146802e+01
1.111111111111111188e-01 5.979967141211400161e+01 5.880587643873434445e+01
1.212121212121212155e-01 6.597739023144255555e+01 6.280516230805079658e+01
1.313131313131313260e-01 6.693572091459563467e+01 6.093963528146925768e+01
1.414141414141414366e-01 7.360540333103301691e+01 6.946657407260319417e+01
1.515151515151515194e-01 7.500741513088134127e+01 7.076269183105470972e+01
1.616161616161616299e-01 7.807836519739579728e+01 7.293201886937276868e+01
1.717171717171717404e-01 8.060179757314638493e+01 7.395744838778738028e+01
1.818181818181818232e-01 8.325468177356471244e+01 7.684354525145607795e+01
1.919191919191919338e-01 8.759960398057535258e+01 7.761414870005381772e+01
2.020202020202020443e-01 8.905433612552450029e+01 7.755560948432777479e+01
2.121212121212121271e-01 9.006279190558706205e+01 7.850207123123574604e+01
2.222222222222222376e-01 9.314938504288403465e+01 8.028509638918436053e+01
2.323232323232323482e-01 9.947364067482254768e+01 8.863680090083305174e+01
2.424242424242424310e-01 1.053807715752169116e+02 9.340280208038444698e+01
2.525252525252525415e-01 1.118018421006012062e+02 9.772366957615474803e+01
2.626262626262626521e-01 1.171618147729332122e+02 1.042300087037073126e+02
2.727272727272727626e-01 1.300228356261650049e+02 1.160772561950318931e+02
2.828282828282828731e-01 1.331884399735989462e+02 1.204504961755737042e+02
2.929292929292929282e-01 1.404159839706276500e+02 1.309761041431347621e+02
3.030303030303030387e-01 1.483732250617415787e+02 1.427803762959665050e+02
3.131313131313131493e-01 1.582039371132791814e+02 1.511943014953648401e+02
3.232323232323232598e-01 1.755830896847933218e+02 1.683509166127653884e+02
3.333333333333333703e-01 1.836985176634208585e+02 1.740709787751368935e+02
3.434343434343434809e-01 1.990175521284071181e+02 1.828858259863074238e+02
3.535353535353535914e-01 2.111311167803120554e+02 1.862571406096938063e+02
3.636363636363636465e-01 2.200801872944037996e+02 1.948300352251758341e+02
3.737373737373737570e-01 2.289075104948949786e+02 1.975486439336953595e+02
3.838383838383838675e-01 2.486198491979283745e+02 2.155813183420592054e+02
3.939393939393939781e-01 2.741395552947236069e+02 2.270465197137668270e+02
4.040404040404040886e-01 2.905593513088594477e+02 2.371982486072815846e+02
4.141414141414141992e-01 3.000437464083526606e+02 2.416188195704221471e+02
4.242424242424242542e-01 3.068056764186558212e+02 2.376623367730811935e+02
4.343434343434343647e-01 3.263955020772202147e+02 2.557640402735664793e+02
4.444444444444444753e-01 3.373314664443105926e+02 2.653717616109654500e+02
4.545454545454545858e-01 3.478757690090099572e+02 2.703104581946283247e+02
4.646464646464646964e-01 3.668578864688756198e+02 2.736901294615274765e+02
4.747474747474748069e-01 3.905991642139499049e+02 2.895769255187101408e+02
4.848484848484848619e-01 4.164271771014582555e+02 3.149478608466927767e+02
4.949494949494949725e-01 4.363336032833831837e+02 3.237096495199230048e+02
5.050505050505050830e-01 4.544852374072378893e+02 3.345450322038456079e+02
5.151515151515152491e-01 4.784258977034806435e+02 3.468906407859486194e+02
5.252525252525253041e-01 4.992763831598322213e+02 3.496285781575613782e+02
5.353535353535353591e-01 5.212540240408980026e+02 3.663965363527841532e+02
5.454545454545455252e-01 5.489519796120677029e+02 3.783226439843882076e+02
5.555555555555555802e-01 5.780703369116272370e+02 3.936426813468283399e+02
5.656565656565657463e-01 6.010124537419965236e+02 4.113712712615135274e+02
5.757575757575758013e-01 6.322148177377279126e+02 4.326874931721641815e+02
5.858585858585858563e-01 6.558504476558287024e+02 4.521002536304902151e+02
5.959595959595960224e-01 6.835615201563828123e+02 4.737141863442620320e+02
6.060606060606060774e-01 7.160762796937304984e+02 4.681909740677551213e+02
6.161616161616162435e-01 7.455991885498120837e+02 4.887701123414533981e+02
6.262626262626262985e-01 7.897637964365903827e+02 5.316335486648918049e+02
6.363636363636364646e-01 8.261408760693861950e+02 5.552770245567485290e+02
6.464646464646465196e-01 8.411499861114016312e+02 5.589169819823036960e+02
6.565656565656565746e-01 8.771758103469327352e+02 5.816122183314748781e+02
6.666666666666667407e-01 9.232091895239999531e+02 6.140232827447046020e+02
6.767676767676767957e-01 9.668568564035808777e+02 6.428671805624713897e+02
6.868686868686869618e-01 1.014056008564823401e+03 6.694190534926725604e+02
6.969696969696970168e-01 1.043699499183752778e+03 6.862392689043427936e+02
7.070707070707071829e-01 1.105981456353878229e+03 7.286072770596758801e+02
7.171717171717172379e-01 1.138317205166444865e+03 7.351998759212447112e+02
7.272727272727272929e-01 1.177446864080024397e+03 7.510842667977360634e+02
7.373737373737374590e-01 1.204579537493566249e+03 7.643352847286004135e+02
7.474747474747475140e-01 1.242713893398885602e+03 7.771233710486818609e+02
7.575757575757576801e-01 1.281256120115211388e+03 7.928462154418016326e+02
7.676767676767677351e-01 1.306959747728974207e+03 8.283563889058380028e+02
7.777777777777777901e-01 1.344403138885747012e+03 8.504432835747329591e+02
7.878787878787879562e-01 1.394613637680172587e+03 8.990078856813735229e+02
7.979797979797980112e-01 1.420133263951528761e+03 9.155202262679021032e+02
8.080808080808081773e-01 1.456098128509161370e+03 9.470045282876782267e+02
8.181818181818182323e-01 1.497486011041673009e+03 9.609124524457294001e+02
8.282828282828283983e-01 1.542554054403590271e+03 9.791889848914292998e+02
8.383838383838384534e-01 1.593673969299956525e+03 1.001524315676752508e+03
8.484848484848485084e-01 1.659787326627600351e+03 1.028476835811780347e+03
8.585858585858586745e-01 1.722800940956548402e+03 1.059011878419523782e+03
8.686868686868687295e-01 1.769317647553965116e+03 1.089634733953526393e+03
8.787878787878788955e-01 1.837540520994772805e+03 1.123758635951750648e+03
8.888888888888889506e-01 1.935582735799521288e+03 1.168331679806005241e+03
8.989898989898991166e-01 2.011580799440888995e+03 1.213685785038435370e+03
9.090909090909091717e-01 2.075138824684497649e+03 1.255226138889735466e+03
9.191919191919192267e-01 2.138283975777743763e+03 1.312261680257627631e+03
9.292929292929293927e-01 2.195406879704927178e+03 1.367373518976947253e+03
9.393939393939394478e-01 2.276582280494186307e+03 1.446031310276973954e+03
9.494949494949496138e-01 2.372191267324510591e+03 1.526259411025425379e+03
9.595959595959596689e-01 2.460167006627149021e+03 1.611115775348470834e+03
9.696969696969697239e-01 2.512671078902193585e+03 1.679571345332410374e+03
9.797979797979798899e-01 2.552768677640225178e+03 1.751017744136727970e+03
9.898989898989899450e-01 2.630044974250002269e+03 1.847534249774311547e+03
1.000000000000000000e+00 2.649849833503032187e+03 1.885268638114506530e+03
