x	y	err
0.000000000000000000e+00 3.326117749336952589e-01 2.996050835651116184e-01
1.010101010101010187e-02 5.919046377298049499e-01 5.668078057368057809e-01
2.020202020202020374e-02 1.010350691163770298e+00 9.122483760289255006e-01
3.030303030303030387e-02 1.627172981035350796e+00 1.771340553966104014e+00
4.040404040404040747e-02 2.860358351890142981e+00 3.745345434719884459e+00
5.050505050505051108e-02 3.737660158012423128e+00 5.133641221789679854e+00
6.060606060606060774e-02 4.681510878292262312e+00 6.460452776438062372e+00
7.070707070707071829e-02 6.628602966899681093e+00 1.016924807576309320e+01
8.080808080808081495e-02 8.032721544572241967e+00 1.235395768997425492e+01
9.090909090909091161e-02 1.042724658744139710e+01 1.658705541184201593e+01
1.010101010101010222e-01 1.356181176082223239e+01 2.274043379102590023e+01
1.111111111111111188e-01 1.608545914799070786e+01 2.714720343954111570e+01
1.212121212121212155e-01 1.976149827682247562e+01 3.434563357324283572e+01
1.313131313131313260e-01 2.099594921327179264e+01 3.629166581565451111e+01
1.414141414141414366e-01 2.474325698249380423e+01 4.367402899181301734e+01
1.515151515151515194e-01 2.722183946554650547e+01 4.777926581981729726e+01
1.616161616161616299e-01 3.007768484931297692e+01 5.112501458274761745e+01
1.717171717171717404e-01 3.169295668846970671e+01 5.272483016139887724e+01
1.818181818181818232e-01 3.414285901011218272e+01 5.589848856179498426e+01
1.919191919191919338e-01 3.667531878117731736e+01 5.747592261825206350e+01
2.020202020202020443e-01 3.845647853992996801e+01 5.795234629017831196e+01
2.121212121212121271e-01 3.985041566321446993e+01 5.819863254810577047e+01
2.222222222222222376e-01 4.165889651545450789e+01 5.835767003202415282e+01
2.323232323232323482e-01 4.477077810639747923e+01 6.283816457592888582e+01
2.424242424242424310e-01 4.749799958202353167e+01 6.378204618442979523e+01
2.525252525252525415e-01 4.854671441344234495e+01 6.490676543209210081e+01
2.626262626262626521e-01 5.104971020632911660e+01 6.572941231152340436e+01
2.727272727272727626e-01 5.197711479808175028e+01 6.834049467681279566e+01
2.828282828282828731e-01 5.497435196237847066e+01 6.684042139445753605e+01
2.929292929292929282e-01 5.761541405874924493e+01 6.692415689829871894e+01
3.030303030303030387e-01 6.220167279884024225e+01 6.803678836076409198e+01
3.131313131313131493e-01 6.461305131923164424e+01 6.899012689091692607e+01
3.232323232323232598e-01 7.173806625876856913e+01 7.327030165713784982e+01
3.333333333333333703e-01 7.601562806332727007e+01 7.205424690165220625e+01
3.434343434343434809e-01 8.933436368885610079e+01 6.812189233476787820e+01
3.535353535353535914e-01 1.045232625658951093e+02 6.843457093253623214e+01
3.636363636363636465e-01 1.094257500884388605e+02 7.032072100322760377e+01
3.737373737373737570e-01 1.162891171487719930e+02 6.971890464101223017e+01
3.838383838383838675e-01 1.243218809116517463e+02 7.222464839798368530e+01
3.939393939393939781e-01 1.299993049049996898e+02 7.121542874132752843e+01
4.040404040404040886e-01 1.360266018033123316e+02 7.096966140596093453e+01
4.141414141414141992e-01 1.424771088903449936e+02 7.038851597720498887e+01
4.242424242424242542e-01 1.445611916769129550e+02 6.639173353342714279e+01
4.343434343434343647e-01 1.506290779620827038e+02 6.503882805824457591e+01
4.444444444444444753e-01 1.561002048751795144e+02 6.394479520250906290e+01
4.545454545454545858e-01 1.577625232715897425e+02 5.958243913773863198e+01
4.646464646464646964e-01 1.660125055255633981e+02 5.867615325910723101e+01
4.747474747474748069e-01 1.793661777629900200e+02 6.357611499542917954e+01
4.848484848484848619e-01 1.885267266850916315e+02 6.291783783815452580e+01
4.949494949494949725e-01 1.942456799519991080e+02 6.423486688605406414e+01
5.050505050505050830e-01 2.044119831595772894e+02 7.275021137088995715e+01
5.151515151515152491e-01 2.157181092077146332e+02 7.718938346099743342e+01
5.252525252525253041e-01 2.255731029831141541e+02 8.075716832410189738e+01
5.353535353535353591e-01 2.266698589142699802e+02 8.296727579343311731e+01
5.454545454545455252e-01 2.291076443439729644e+02 8.793114626207284346e+01
5.555555555555555802e-01 2.398419423539467061e+02 9.532574307857498752e+01
5.656565656565657463e-01 2.492928718122882401e+02 1.004549138385804383e+02
5.757575757575758013e-01 2.564088429488751331e+02 1.019223067129919400e+02
