x	y	err
2.820816 0.153345 0.031719
4.836656 0.154456 0.032963
6.225959 0.156299 0.034225
7.469888 0.158909 0.035500
8.702316 0.161415 0.036730
9.982861 0.164320 0.037906
11.277726 0.167534 0.039063
12.543658 0.170781 0.040185
13.841628 0.173906 0.041243
15.111534 0.176953 0.042232
16.435075 0.180032 0.043162
17.678577 0.183154 0.044021
19.023274 0.186409 0.044806
20.317183 0.189763 0.045516
21.566698 0.193210 0.046142
22.859530 0.196852 0.046701
24.123559 0.200800 0.047216
25.403266 0.205021 0.047665
26.656554 0.209488 0.048038
27.916374 0.214148 0.048348
29.211415 0.219064 0.048602
30.481649 0.224343 0.048800
31.727108 0.229924 0.048951
32.995931 0.235811 0.049063
34.363717 0.242030 0.049145
35.610270 0.248548 0.049212
36.840089 0.255368 0.049276
38.095701 0.262475 0.049345
39.372268 0.269880 0.049453
40.645718 0.277634 0.049546
41.894373 0.285432 0.049669
43.165345 0.293341 0.049808
44.410263 0.301366 0.049988
45.670500 0.309443 0.050216
46.916165 0.317509 0.050495
48.168327 0.325536 0.050845
49.447545 0.333432 0.051293
50.671419 0.341261 0.051773
51.989952 0.349234 0.052282
53.250124 0.356770 0.052760
54.496009 0.363644 0.053179
55.696478 0.370029 0.053568
56.913395 0.376030 0.053959
58.178308 0.381625 0.054355
59.427438 0.386747 0.054746
60.684745 0.391248 0.055067
61.896055 0.395242 0.055377
63.127758 0.398749 0.055656
64.446636 0.401621 0.055838
65.655897 0.403978 0.055968
66.898220 0.405995 0.056093
68.149278 0.407491 0.056142
69.430572 0.408209 0.056080
70.674403 0.408512 0.055992
71.923855 0.408477 0.055870
73.161437 0.408054 0.055719
74.426610 0.407305 0.055539
75.636665 0.406381 0.055342
76.854426 0.405416 0.055129
78.092801 0.404379 0.054909
79.326257 0.403201 0.054676
80.577701 0.402010 0.054451
81.784505 0.400790 0.054238
83.009411 0.399605 0.054033
84.240423 0.398531 0.053841
85.519746 0.397568 0.053641
86.812395 0.396652 0.053415
88.051034 0.395881 0.053189
89.326457 0.395256 0.052974
90.590923 0.394825 0.052737
91.888762 0.394527 0.052459
93.148044 0.394289 0.052150
94.417462 0.394089 0.051812
95.718411 0.393906 0.051435
97.014352 0.393693 0.051006
98.249616 0.393407 0.050532
99.477769 0.393070 0.050002
100.719877 0.392588 0.049421
101.969106 0.391907 0.048790
103.184242 0.390921 0.048131
104.462512 0.389867 0.047428
105.721764 0.388566 0.046682
107.010555 0.386941 0.045898
108.285104 0.385006 0.045068
109.520336 0.382791 0.044205
110.739103 0.380298 0.043316
111.961987 0.377571 0.042406
113.252858 0.374653 0.041478
114.507579 0.371521 0.040543
115.751404 0.368213 0.039627
117.020388 0.364842 0.038721
118.260256 0.361354 0.037839
119.478730 0.357774 0.036977
120.731733 0.354184 0.036147
121.941261 0.350686 0.035339
123.163413 0.347225 0.034566
124.417393 0.343852 0.033812
125.694805 0.340550 0.033086
126.930835 0.337418 0.032415
128.248314 0.334414 0.031798
129.570550 0.331571 0.031210
130.893584 0.328979 0.030684
132.103422 0.326711 0.030229
133.279272 0.324476 0.029774
134.482505 0.322421 0.029353
135.674169 0.320536 0.028967
136.866940 0.318848 0.028610
138.076320 0.317336 0.028286
139.299568 0.315967 0.027999
140.486485 0.314717 0.027729
141.724317 0.313612 0.027476
142.984737 0.312539 0.027223
144.241300 0.311504 0.026968
145.422779 0.310503 0.026711
146.590515 0.309444 0.026448
147.769852 0.308295 0.026188
148.949190 0.307077 0.025927
150.142840 0.305745 0.025656
151.341760 0.304315 0.025371
152.556140 0.302755 0.025091
153.781055 0.301069 0.024818
154.968675 0.299266 0.024543
156.138665 0.297421 0.024267
157.315707 0.295511 0.023994
158.492413 0.293513 0.023725
159.711006 0.291475 0.023452
160.925980 0.289342 0.023183
162.197831 0.287183 0.022913
163.403441 0.285040 0.022652
