x	err
361.244328 0.028535
362.496975 0.028506
363.712944 0.028434
364.949456 0.028319
366.154267 0.028163
367.341250 0.027975
368.532081 0.027764
369.741542 0.027532
370.957286 0.027277
372.186315 0.027013
373.421420 0.026735
374.641563 0.026445
375.852319 0.026151
377.073553 0.025869
378.324415 0.025593
379.604361 0.025327
380.821502 0.025067
382.036097 0.024829
383.223912 0.024623
384.435533 0.024437
385.667424 0.024283
386.895003 0.024156
388.135959 0.024049
389.389793 0.023968
390.639312 0.023914
391.839306 0.023882
393.023787 0.023880
394.217881 0.023911
395.451966 0.023970
396.673322 0.024047
397.890325 0.024135
399.097879 0.024243
400.321569 0.024365
401.569961 0.024500
402.797442 0.024646
404.021642 0.024799
405.299441 0.024965
406.528679 0.025142
407.750577 0.025319
408.976443 0.025498
410.239905 0.025680
411.483133 0.025870
412.715283 0.026061
413.967533 0.026259
415.222392 0.026462
416.480612 0.026665
417.747398 0.026868
418.965126 0.027077
420.168408 0.027283
421.388910 0.027485
422.621666 0.027683
423.840007 0.027867
425.084626 0.028042
426.304663 0.028210
427.517823 0.028365
428.744162 0.028502
429.988251 0.028618
431.235541 0.028721
432.502649 0.028815
433.778035 0.028894
435.003286 0.028960
436.218466 0.029000
437.458339 0.029013
438.733914 0.029003
439.977952 0.028967
441.208053 0.028908
442.456703 0.028827
443.683856 0.028714
444.901991 0.028574
446.113485 0.028411
447.386164 0.028227
448.641715 0.028026
449.933002 0.027803
451.210856 0.027554
452.439422 0.027287
453.699086 0.027001
454.911999 0.026689
456.148533 0.026356
457.409143 0.026003
458.665806 0.025632
459.886710 0.025246
461.098668 0.024843
462.312440 0.024438
463.531053 0.024028
464.781228 0.023621
466.024391 0.023218
467.280441 0.022822
468.551614 0.022439
469.794768 0.022075
471.036263 0.021736
472.293660 0.021413
473.566944 0.021108
474.823900 0.020832
476.048611 0.020581
477.303290 0.020355
478.656798 0.020156
479.976629 0.019986
481.256513 0.019837
482.517879 0.019709
483.780968 0.019603
485.019726 0.019516
486.300982 0.019449
487.559233 0.019398
488.836686 0.019359
490.125860 0.019334
491.400532 0.019325
492.631345 0.019329
493.846629 0.019335
495.115700 0.019344
496.402278 0.019354
497.687004 0.019369
498.970000 0.019397
500.230614 0.019431
501.500007 0.019471
502.781364 0.019520
504.090414 0.019572
505.348177 0.019629
506.562407 0.019689
507.796635 0.019747
509.047045 0.019802
510.336085 0.019853
511.612462 0.019901
512.874914 0.019951
514.141657 0.019996
515.399605 0.020032
516.668406 0.020063
517.887346 0.020088
519.111835 0.020106
520.346509 0.020121
521.556698 0.020134
522.789443 0.020143
524.054826 0.020150
525.285585 0.020152
526.556142 0.020156
527.834473 0.020160
529.099657 0.020165
530.368645 0.020171
531.635757 0.020179
532.885909 0.020197
534.129055 0.020219
535.390965 0.020247
536.637695 0.020284
537.893109 0.020331
539.133519 0.020386
540.386036 0.020455
541.646201 0.020530
542.887764 0.020607
544.134684 0.020693
545.429626 0.020790
546.728095 0.020894
548.037568 0.021005
549.308347 0.021119
550.559577 0.021235
551.802528 0.021353
553.085320 0.021471
554.347265 0.021584
555.599529 0.021689
556.893140 0.021795
558.170250 0.021899
559.392153 0.021995
560.608825 0.022078
561.846061 0.022145
563.108495 0.022199
564.382060 0.022239
565.666812 0.022262
566.937818 0.022270
568.150400 0.022265
569.362313 0.022251
570.608151 0.022224
571.882557 0.022185
573.143102 0.022138
574.418265 0.022083
575.712351 0.022023
576.948080 0.021959
578.173499 0.021891
579.397542 0.021824
580.654866 0.021759
581.926207 0.021698
583.187591 0.021642
584.462580 0.021591
585.723663 0.021543
586.951948 0.021501
588.185906 0.021465
589.460007 0.021433
590.715859 0.021406
591.979554 0.021384
593.269039 0.021366
594.519898 0.021352
595.812268 0.021335
597.056098 0.021321
598.321465 0.021308
599.532197 0.021293
600.752964 0.021276
602.022347 0.021256
603.295619 0.021232
604.605354 0.021207
605.876635 0.021184
607.128622 0.021156
608.349965 0.021125
609.572569 0.021092
610.840459 0.021056
612.090211 0.021017
613.363252 0.020979
614.648737 0.020942
615.934653 0.020903
617.185449 0.020867
